sim_id,nFlows,nRouters,coredelay,nGroups,fwin,thp,retr,timeout,redun,fmaxcount,lossr,effrec,fr,lostret,fmax
fecrouter,20,11,100,1,20,81.70,0.145,7,5.000,0,0.145,0,6.9,97.80,20
fecrouter,20,11,100,3,10,81.20,0.136,11,10.000,0,0.144,0.076,7.0,97.80,10
fecrouter,20,11,100,3,20,84.99,0.146,10,5.000,0,0.146,0.209,6.8,97.80,20
fecrouter,10,13,100,1,10,69.98,0.106,8,10.000,0,0.109,0,4.0,97.80,10
fecrouter,10,13,100,1,20,77.07,0.136,6,5.000,0,0.125,0,3.0,97.80,20
fecrouter,10,13,100,3,10,76.33,0.115,5,10.000,0,0.115,0.027,2.9,97.80,10
fecrouter,10,13,100,3,20,81.21,0.129,6,5.000,0,0.120,0.100,3.1,97.80,20
fecrouter,20,13,100,1,10,75.40,0.170,14,10.000,0,0.171,0,6.9,97.80,10
fecrouter,20,13,100,1,20,79.05,0.183,13,5.000,0,0.175,0,6.7,97.80,20
fecrouter,20,13,100,3,10,82.47,0.163,15,10.000,0,0.171,0.135,6.3,97.80,10
fecrouter,20,13,100,3,20,85.93,0.169,13,5.000,0,0.173,0.231,6.3,97.80,20
fecrouter,10,15,100,1,10,67.53,0.140,9,10.000,0,0.140,0,2.7,97.80,10
fecrouter,10,15,100,1,20,71.15,0.126,6,5.000,0,0.134,0,2.4,97.80,20
fecrouter,10,15,100,3,10,74.69,0.120,6,10.000,0,0.126,0.059,2.4,97.80,10
fecrouter,10,15,100,3,20,77.83,0.112,6,5.000,0,0.122,0.110,2.3,97.80,20
fecrouter,20,15,100,1,10,76.46,0.216,10,10.000,0,0.200,0,6.0,97.80,10
fecrouter,20,15,100,1,20,80.64,0.191,10,5.000,0,0.181,0,5.8,97.80,20
fecrouter,20,15,100,3,10,81.95,0.195,11,10.000,0,0.216,0.251,5.7,97.80,10
fecrouter,20,15,100,3,20,85.79,0.204,13,5.000,0,0.208,0.585,5.5,97.80,20
fecrouter,10,5,100,1,10,77.00,0.114,5,10.000,0,0.109,0,5.7,97.80,10
fecrouter,10,5,100,1,20,79.29,0.090,5,5.000,0,0.094,0,7.1,97.80,20
fecrouter,10,5,100,3,10,80.24,0.115,6,10.000,0,0.111,0.022,5.2,97.80,10
fecrouter,10,5,100,3,20,84.97,0.086,4,5.000,0,0.087,0.076,6.0,97.80,20
fecrouter,20,5,100,1,10,77.32,0.154,10,10.000,0,0.149,0,11.7,97.80,10
fecrouter,20,5,100,1,20,82.65,0.143,12,5.000,0,0.147,0,13.3,97.80,20
fecrouter,20,5,100,3,10,83.19,0.140,12,10.000,0,0.155,0.165,11.3,97.80,10
fecrouter,20,5,100,3,20,87.08,0.146,11,5.000,0,0.162,0.403,12.2,97.80,20
fecrouter,10,7,100,1,10,74.94,0.080,7,10.000,0,0.087,0,4.2,97.80,10
fecrouter,10,7,100,1,20,75.31,0.082,6,5.000,0,0.086,0,4.2,97.80,20
fecrouter,10,7,100,3,10,78.24,0.084,8,10.000,0,0.092,0.047,4.5,97.80,10
fecrouter,10,7,100,3,20,81.04,0.080,6,5.000,0,0.084,0.045,4.1,97.80,20
fecrouter,20,7,100,1,10,77.86,0.137,11,10.000,0,0.147,0,9.8,97.80,10
fecrouter,20,7,100,1,20,80.24,0.145,12,5.000,0,0.154,0,9.2,97.80,20
fecrouter,20,7,100,3,10,82.32,0.148,13,10.000,0,0.162,0.146,9.5,97.80,10
fecrouter,20,7,100,3,20,87.09,0.152,14,5.000,0,0.157,0.235,9.4,97.80,20
fecrouter,10,9,100,1,10,69.98,0.106,8,10.000,0,0.109,0,4.0,97.80,10
fecrouter,10,9,100,1,20,75.15,0.111,7,5.000,0,0.107,0,3.6,97.80,20
fecrouter,10,9,100,3,10,78.21,0.104,7,10.000,0,0.106,0.070,4.1,97.80,10
fecrouter,10,9,100,3,20,79.31,0.103,7,5.000,0,0.107,0.061,3.7,97.80,20
fecrouter,20,9,100,1,10,75.17,0.161,9,10.000,0,0.161,0,8.8,97.80,10
fecrouter,20,9,100,1,20,81.36,0.166,11,5.000,0,0.163,0,8.4,97.80,20
fecrouter,20,9,100,3,10,82.47,0.159,10,10.000,0,0.180,0.240,8.6,97.80,10
fecrouter,20,9,100,3,20,86.82,0.162,11,5.000,0,0.163,0.223,8.6,97.80,20
tcprouter,10,11,100,1,0,74.68,0.106,4,0.000,0,0.000,0.00000,3.7,97.80,10
tcprouter,10,11,100,3,0,74.68,0.106,4,0.000,0,0.000,0.00000,3.7,97.80,20
tcprouter,10,11,100,3,0,74.68,0.106,4,0.000,0,0.000,0.00000,3.7,97.80,10
tcprouter,10,11,100,1,0,74.68,0.106,4,0.000,0,0.000,0.00000,3.7,97.80,20
tcprouter,20,11,100,1,0,76.76,0.162,5,0.000,0,0.000,0.00000,7.2,97.80,10
tcprouter,20,11,100,3,0,76.76,0.162,5,0.000,0,0.000,0.00000,7.2,97.80,20
tcprouter,20,11,100,3,0,76.76,0.162,5,0.000,0,0.000,0.00000,7.2,97.80,10
tcprouter,20,11,100,1,0,76.76,0.162,5,0.000,0,0.000,0.00000,7.2,97.80,20
tcprouter,10,13,100,1,0,75.34,0.152,5,0.000,0,0.000,0.00000,3.6,97.80,10
tcprouter,10,13,100,3,0,75.34,0.152,5,0.000,0,0.000,0.00000,3.6,97.80,20
tcprouter,10,13,100,3,0,75.34,0.152,5,0.000,0,0.000,0.00000,3.6,97.80,10
tcprouter,10,13,100,1,0,75.34,0.152,5,0.000,0,0.000,0.00000,3.6,97.80,20
tcprouter,20,13,100,1,0,75.38,0.186,7,0.000,0,0.000,0.00000,6.8,97.80,10
tcprouter,20,13,100,3,0,75.38,0.186,7,0.000,0,0.000,0.00000,6.8,97.80,20
tcprouter,20,13,100,3,0,75.38,0.186,7,0.000,0,0.000,0.00000,6.8,97.80,10
tcprouter,20,13,100,1,0,75.38,0.186,7,0.000,0,0.000,0.00000,6.8,97.80,20
tcprouter,10,15,100,1,0,70.92,0.124,6,0.000,0,0.000,0.00000,2.9,97.80,10
tcprouter,10,15,100,3,0,70.92,0.124,6,0.000,0,0.000,0.00000,2.9,97.80,20
tcprouter,10,15,100,3,0,70.92,0.124,6,0.000,0,0.000,0.00000,2.9,97.80,10
tcprouter,10,15,100,1,0,70.92,0.124,6,0.000,0,0.000,0.00000,2.9,97.80,20
tcprouter,20,15,100,1,0,77.49,0.218,10,0.000,0,0.000,0.00000,5.3,97.80,10
tcprouter,20,15,100,3,0,77.49,0.218,10,0.000,0,0.000,0.00000,5.3,97.80,20
tcprouter,20,15,100,3,0,77.49,0.218,10,0.000,0,0.000,0.00000,5.3,97.80,10
tcprouter,20,15,100,1,0,77.49,0.218,10,0.000,0,0.000,0.00000,5.3,97.80,20
tcprouter,10,5,100,1,0,79.25,0.110,4,0.000,0,0.000,0.00000,5.2,97.80,10
tcprouter,10,5,100,3,0,79.25,0.110,4,0.000,0,0.000,0.00000,5.2,97.80,20
