cwnd avg result
f2 12.5986
f3 12.7762
f4 12.93
f5 12.9369
f6 13.0237
f7 12.8874
f8 12.8327
f9 12.7815
f10 13.0186
f11 13.1732
f12 12.9299
f13 12.6457
f14 12.8543
f15 12.7722
f16 12.8755
f17 13.0112
f18 12.8064
f19 12.8415
f20 12.9598
f21 12.8592
f22 12.8113
f23 12.8616
f24 13.0843
f25 13.0363
f26 12.6819
f27 13.0051
f28 12.9694
f29 12.8562
f30 12.865
f31 12.9768
f32 12.8979
f33 12.9308
f34 12.407
f35 12.8509
f36 12.8388
f37 14.5977
f38 12.8839
f39 12.4733
Total_among_flows 12.8746
------------------------------------

f 40 d 10
f0 14.2736
f1 14.2482
f2 14.7555
f3 14.8793
f4 15.2184
f5 15.1553
f6 15.0701
f7 15.5671
f8 14.9595
f9 14.9816
f10 15.1581
f11 15.1628
f12 15.1904
f13 14.7734
f14 14.9844
f15 15.1354
f16 15.1565
f17 15.3852
f18 15.1833
f19 15.056
f20 15.5775
f21 14.714
f22 15.0476
f23 15.3592
f24 15.2213
f25 15.395
f26 15.2312
f27 15.1459
f28 15.1617
f29 14.897
f30 14.8295
f31 15.0603
f32 15.1001
f33 14.9569
f34 15.3493
f35 15.1022
f36 14.9326
f37 14.7146
f38 14.5893
f39 15.4188
Total_among_flows 15.0525
------------------------------------

f 40 d 25
f0 20.4613
f1 21.5801
f2 20.2714
f3 21.0173
f4 21.7365
f5 21.4182
f6 20.724
f7 22.3004
f8 20.8961
f9 21.5192
f10 21.3902
f11 21.4878
f12 21.4405
f13 20.6142
f14 21.5413
f15 20.7277
f16 21.7271
f17 21.5779
f18 20.8411
f19 19.9995
f20 21.4246
f21 21.4754
f22 22.0027
f23 21.5642
f24 21.4041
f25 21.5444
f26 21.8679
f27 21.7369
f28 21.4942
f29 21.3742
f30 21.5747
f31 21.6258
f32 21.5542
f33 21.5981
f34 21.419
f35 21.8797
f36 20.9612
f37 21.8665
f38 21.0456
f39 21.7384
Total_among_flows 21.3606
------------------------------------

f 40 d 50
f0 30.1122
f1 31.9343
f2 32.0522
f3 32.6163
f4 35.5822
f5 31.9814
f6 32.5092
f7 40.9483
f8 40.8299
f9 31.51
f10 32.1076
f11 38.4751
f12 30.9309
f13 30.3846
f14 31.513
f15 34.3852
f16 34.1617
f17 38.3159
f18 36.3239
f19 30.2776
f20 32.9254
f21 32.9045
f22 30.8968
f23 31.8581
f24 33.0337
f25 33.0828
f26 36.5418
f27 34.1617
f28 39.3735
f29 28.9777
f30 31.564
f31 39.3758
f32 32.5379
f33 35.3387
f34 36.1473
f35 33.5028
f36 30.2624
f37 36.3841
f38 34.8675
f39 32.7568
Total_among_flows 33.8361
------------------------------------

f 40 d 100
