f 10 d   5 g 1 w  10 retrate 0.145 stdev 0.111 
f 10 d   5 g 1 w  20 retrate 0.134 stdev 0.101 
f 10 d   5 g 1 w  50 retrate 0.141 stdev 0.119 
f 10 d   5 g 1 w  75 retrate 0.110 stdev 0.092 
f 10 d   5 g 1 w 100 retrate 0.109 stdev 0.106 
f 10 d   5 g 3 w  10 retrate 0.147 stdev 0.117 
f 10 d   5 g 3 w  20 retrate 0.138 stdev 0.100 
f 10 d   5 g 3 w  50 retrate 0.110 stdev 0.082 
f 10 d   5 g 3 w  75 retrate 0.124 stdev 0.113 
f 10 d   5 g 3 w 100 retrate 0.509 stdev 0.108 
f 10 d   5 g 5 w  10 retrate 0.110 stdev 0.087 
f 10 d   5 g 5 w  20 retrate 0.115 stdev 0.082 
f 10 d   5 g 5 w  50 retrate 0.304 stdev 0.128 
f 10 d   5 g 5 w  75 retrate 0.695 stdev 0.162 
f 10 d   5 g 5 w 100 retrate 1.292 stdev 0.319 
f 10 d   5 g 7 w  10 retrate 0.129 stdev 0.111 
f 10 d   5 g 7 w  20 retrate 0.160 stdev 0.113 
f 10 d   5 g 7 w  50 retrate 0.901 stdev 0.210 
f 10 d   5 g 7 w  75 retrate 12.903 stdev 5.814 
f 10 d   5 g 7 w 100 retrate 2.024 stdev 1.433 
f 10 d   5 g 9 w  10 retrate 0.150 stdev 0.099 
f 10 d   5 g 9 w  20 retrate 0.147 stdev 0.094 
f 10 d   5 g 9 w  50 retrate 3.247 stdev 3.020 
f 10 d   5 g 9 w  75 retrate 5.985 stdev 5.029 
f 10 d   5 g 9 w 100 retrate 7.440 stdev 6.758 
f 10 d  10 g 1 w  10 retrate 0.136 stdev 0.122 
f 10 d  10 g 1 w  20 retrate 0.101 stdev 0.111 
f 10 d  10 g 1 w  50 retrate 0.111 stdev 0.116 
f 10 d  10 g 1 w  75 retrate 0.108 stdev 0.108 
f 10 d  10 g 1 w 100 retrate 0.114 stdev 0.104 
f 10 d  10 g 3 w  10 retrate 0.101 stdev 0.047 
f 10 d  10 g 3 w  20 retrate 0.108 stdev 0.074 
f 10 d  10 g 3 w  50 retrate 0.087 stdev 0.062 
f 10 d  10 g 3 w  75 retrate 0.117 stdev 0.089 
f 10 d  10 g 3 w 100 retrate 0.250 stdev 0.075 
f 10 d  10 g 5 w  10 retrate 0.086 stdev 0.055 
f 10 d  10 g 5 w  20 retrate 0.099 stdev 0.062 
f 10 d  10 g 5 w  50 retrate 0.368 stdev 0.077 
f 10 d  10 g 5 w  75 retrate 0.652 stdev 0.184 
f 10 d  10 g 5 w 100 retrate 1.044 stdev 0.129 
f 10 d  10 g 7 w  10 retrate 0.094 stdev 0.063 
f 10 d  10 g 7 w  20 retrate 0.124 stdev 0.101 
f 10 d  10 g 7 w  50 retrate 0.901 stdev 0.131 
f 10 d  10 g 7 w  75 retrate 1.386 stdev 0.494 
f 10 d  10 g 7 w 100 retrate 1.389 stdev 0.106 
f 10 d  10 g 9 w  10 retrate 0.141 stdev 0.094 
f 10 d  10 g 9 w  20 retrate 0.135 stdev 0.095 
f 10 d  10 g 9 w  50 retrate 1.114 stdev 0.199 
f 10 d  10 g 9 w  75 retrate 1.437 stdev 0.160 
f 10 d  10 g 9 w 100 retrate 10.401 stdev 6.252 
f 10 d  25 g 1 w  10 retrate 0.105 stdev 0.103 
f 10 d  25 g 1 w  20 retrate 0.072 stdev 0.056 
f 10 d  25 g 1 w  50 retrate 0.122 stdev 0.117 
f 10 d  25 g 1 w  75 retrate 0.103 stdev 0.098 
f 10 d  25 g 1 w 100 retrate 0.086 stdev 0.093 
f 10 d  25 g 3 w  10 retrate 0.113 stdev 0.118 
f 10 d  25 g 3 w  20 retrate 0.099 stdev 0.095 
f 10 d  25 g 3 w  50 retrate 0.083 stdev 0.071 
f 10 d  25 g 3 w  75 retrate 0.100 stdev 0.076 
f 10 d  25 g 3 w 100 retrate 0.225 stdev 0.102 
f 10 d  25 g 5 w  10 retrate 0.074 stdev 0.063 
f 10 d  25 g 5 w  20 retrate 0.098 stdev 0.096 
f 10 d  25 g 5 w  50 retrate 0.206 stdev 0.124 
f 10 d  25 g 5 w  75 retrate 0.371 stdev 0.141 
f 10 d  25 g 5 w 100 retrate 0.906 stdev 0.134 
f 10 d  25 g 7 w  10 retrate 0.086 stdev 0.072 
f 10 d  25 g 7 w  20 retrate 0.109 stdev 0.099 
f 10 d  25 g 7 w  50 retrate 0.674 stdev 0.119 
f 10 d  25 g 7 w  75 retrate 0.838 stdev 0.091 
f 10 d  25 g 7 w 100 retrate 1.006 stdev 0.134 
f 10 d  25 g 9 w  10 retrate 0.097 stdev 0.106 
f 10 d  25 g 9 w  20 retrate 0.142 stdev 0.126 
f 10 d  25 g 9 w  50 retrate 0.960 stdev 0.132 
f 10 d  25 g 9 w  75 retrate 1.525 stdev 0.902 
f 10 d  25 g 9 w 100 retrate 1.296 stdev 0.262 
f 10 d  50 g 1 w  10 retrate 0.089 stdev 0.080 
f 10 d  50 g 1 w  20 retrate 0.095 stdev 0.059 
f 10 d  50 g 1 w  50 retrate 0.077 stdev 0.047 
f 10 d  50 g 1 w  75 retrate 0.076 stdev 0.046 
f 10 d  50 g 1 w 100 retrate 0.094 stdev 0.078 
f 10 d  50 g 3 w  10 retrate 0.100 stdev 0.092 
f 10 d  50 g 3 w  20 retrate 0.095 stdev 0.085 
f 10 d  50 g 3 w  50 retrate 0.077 stdev 0.049 
f 10 d  50 g 3 w  75 retrate 0.090 stdev 0.047 
