f 10 d 5 g 1 w 10 thp 85.60
f 10 d 5 g 1 w 20 thp 87.42
f 10 d 5 g 1 w 50 thp 92.30
f 10 d 5 g 1 w 75 thp 89.78
f 10 d 5 g 1 w 100 thp 91.85
f 10 d 5 g 3 w 10 thp 86.27
f 10 d 5 g 3 w 20 thp 89.94
f 10 d 5 g 3 w 50 thp 92.32
f 10 d 5 g 3 w 75 thp 90.61
f 10 d 5 g 3 w 100 thp 84.46
f 10 d 5 g 5 w 10 thp 86.49
f 10 d 5 g 5 w 20 thp 90.06
f 10 d 5 g 5 w 50 thp 87.75
f 10 d 5 g 5 w 75 thp 60.38
f 10 d 5 g 5 w 100 thp 29.66
f 10 d 5 g 7 w 10 thp 86.28
f 10 d 5 g 7 w 20 thp 88.97
f 10 d 5 g 7 w 50 thp 38.89
f 10 d 5 g 7 w 75 thp 0.43
f 10 d 5 g 7 w 100 thp 3.35
f 10 d 5 g 9 w 10 thp 86.00
f 10 d 5 g 9 w 20 thp 86.91
f 10 d 5 g 9 w 50 thp 2.48
f 10 d 5 g 9 w 75 thp 0.84
f 10 d 5 g 9 w 100 thp 0.88
f 10 d 10 g 1 w 10 thp 80.60
f 10 d 10 g 1 w 20 thp 89.80
f 10 d 10 g 1 w 50 thp 89.95
f 10 d 10 g 1 w 75 thp 91.64
f 10 d 10 g 1 w 100 thp 88.25
f 10 d 10 g 3 w 10 thp 86.16
f 10 d 10 g 3 w 20 thp 90.10
f 10 d 10 g 3 w 50 thp 92.22
f 10 d 10 g 3 w 75 thp 91.75
f 10 d 10 g 3 w 100 thp 74.78
f 10 d 10 g 5 w 10 thp 86.17
f 10 d 10 g 5 w 20 thp 89.83
f 10 d 10 g 5 w 50 thp 84.81
f 10 d 10 g 5 w 75 thp 69.11
f 10 d 10 g 5 w 100 thp 65.85
f 10 d 10 g 7 w 10 thp 86.04
f 10 d 10 g 7 w 20 thp 88.99
f 10 d 10 g 7 w 50 thp 47.01
f 10 d 10 g 7 w 75 thp 20.28
f 10 d 10 g 7 w 100 thp 62.53
f 10 d 10 g 9 w 10 thp 85.86
f 10 d 10 g 9 w 20 thp 88.43
f 10 d 10 g 9 w 50 thp 44.24
f 10 d 10 g 9 w 75 thp 67.28
f 10 d 10 g 9 w 100 thp 0.56
f 10 d 25 g 1 w 10 thp 83.04
f 10 d 25 g 1 w 20 thp 87.40
